"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"11","Connecticut Valley","BECKET","MAIN OFFICE","240544002","623 MAIN ST","BECKET","MA","01223-9998","Jun-04","Landlord","6/21/2004","6/20/2024","A","A","Reimbursable","Y","4","20","ANGELA BAZIGOS","1811 EATON AVENUE","","","SAN CARLOS","CA","940704726","2,937","82,764","$67,800.00 ","$23.08 ","$67,800.00 ","$23.08 "
"12","Connecticut Valley","BELCHERTOWN","MAIN OFFICE","240595003","35 MAIN ST","BELCHERTOWN","MA","01007-9998","May-02","Landlord","5/18/2002","5/17/2022","A","A","Percentage","Y","2","10","CHESWELL INC","1227 SW ROBYS WAY","","","PALM CITY","FL","349908524","6,581","173,920","$145,944.00 ","$22.18 ","$158,500.00 ","$24.08 "
"13","Connecticut Valley","BERNARDSTON","MAIN OFFICE","240663001","9 CENTER ST","BERNARDSTON","MA","01337-9998","Aug-63","Landlord","7/1/2013","6/30/2018","A","A","Reimbursable","","1","5","RUSSELL L DEANE","AND/OR LILLIAN F DEANE","259 BALD MOUNTAIN RD","","BERNARDSTON","MA","13379694","1,134","15,246","$12,600.00 ","$11.11 ","$13,860.00 ","$12.22 "
"14","Connecticut Valley","BLANDFORD","MAIN OFFICE","240748001","102 MAIN ST","BLANDFORD","MA","01008-9998","Dec-68","Landlord","12/1/2012","11/30/2017","A","A","None Specified","","2","10","TOWN OF BLANDFORD","OFFICE OF THE TREASURER","1 RUSSELL STAGE ROAD STE 15","","BLANDFORD","MA","10089660","738","738","$11,865.00 ","$16.08 ","$12,458.00 ","$16.88 "
"15","Connecticut Valley","BONDSVILLE","MAIN OFFICE","240782002","3069 MAIN ST","BONDSVILLE","MA","01009-9998","Aug-89","Shared","8/1/2014","7/31/2019","A","A","Reimbursable","N","1","5","JERRY L MILLER","AND BONNIE MILLER","692 SCHEEL","","KYLE","TX","786405432","3,200","7,700","$42,240.00 ","$13.20 ","$47,200.00 ","$14.75 "
"16","Connecticut Valley","BRIMFIELD","MAIN OFFICE","240935002","1 MAIN ST","BRIMFIELD","MA","01010-9998","Oct-83","Landlord","10/1/2013","9/30/2018","A","A","None Specified","","1","5","THOMAS E TRAFFORD JR","& HOLLY R TRAFFORD","18 HAYNES HILL RD","","BRIMFIELD","MA","10109750","1,696","12,829","$28,886.00 ","$17.03 ","$30,619.00 ","$18.05 "
"17","Connecticut Valley","BUCKLAND","MAIN OFFICE","241020002","67 UPPER ST","BUCKLAND","MA","01338-9800","Feb-96","Landlord","2/1/2016","1/31/2021","A","A","Reimbursable","","1","5","EDWARD W SCOTT","JANICE, COLIN, CATHERINE","SCOTT","853 CONWAY RD","ASHFIELD","MA","13309762","1,118","22,000","$10,860.00 ","$9.71 ","$12,492.00 ","$11.17 "
"18","Connecticut Valley","CHARLEMONT","MAIN OFFICE","241190001","90-3 MAIN ST","CHARLEMONT","MA","01339-9998","Jul-73","USPS (Not Roof)","4/1/2015","3/31/2020","A","A","Percentage","N","","","ROBERT DERAWAY","20 WEST HILL RD","","","HAWLEY","MA","13399630","1,920","15,034","$28,000.00 ","$14.58 ","$0.00 ","$0.00 "
"19","Connecticut Valley","CHARTLEY ","MAIN OFFICE","241275002","391 OLD COLONY RD","CHARTLEY","MA","02712-9800","Sep-82","Landlord","9/1/2012","8/31/2017","A","A","Percentage","N","","","PATRICK PROP MGMT INC","391 OLD COLONY RD","","","NORTON","MA","27662043","1,082","5,713","$14,000.00 ","$12.94 ","$16,576.00 ","$15.32 "
"20","Connecticut Valley","CHESHIRE","MAIN OFFICE","241326001","214 CHURCH ST","CHESHIRE","MA","01225-9998","Nov-70","Landlord","8/1/2011","7/31/2016","A","A","Reimbursable","","1","5","VALLEY REALTY CO","8342 MACON RD","","","CORDOVA","TN","380188554","2,991","31,848","$35,280.00 ","$11.80 ","$37,044.00 ","$12.39 "
"21","Connecticut Valley","CHESTER","MAIN OFFICE","241343001","309 ROUTE 20","CHESTER","MA","01011-9998","Jun-63","Landlord","7/1/2014","6/30/2019","A","A","None Specified","","1","5","DENNIS FORGEA , DONNA FORGEA","660 MERRILL RD","","","PITTSFIELD","MA","12012083","1,373","6,243","$24,000.00 ","$17.48 ","$25,200.00 ","$18.35 "
"22","Connecticut Valley","CHESTERFIELD","MAIN OFFICE","241360001","6A SOUTH ST","CHESTERFIELD","MA","01012-9998","Jul-58","Landlord","12/1/2011","11/30/2016","A","A","None Specified","","2","10","THOMAS DAWSON GREENE","P O BOX 556","","","CHESTERFIELD","MA","10120556","861","1,767","$12,273.00 ","$14.25 ","$13,009.00 ","$15.11 "
"23","Connecticut Valley","COLRAIN","MAIN OFFICE","241530001","16 MAIN RD","COLRAIN","MA","01340-9998","Jul-71","Landlord","7/1/2014","6/30/2019","A","A","Reimbursable","","1","5","LAWRENCE E SHEARER","201 THOMPSON RD","","","COLRAIN","MA","13409722","1,128","2,720","$13,000.00 ","$11.52 ","$14,200.00 ","$12.59 "
"24","Connecticut Valley","CONWAY","MAIN OFFICE","241564001","38 RIVER ST","CONWAY","MA","01341-9998","Feb-55","Landlord","1/1/2015","12/31/2017","A","A","None Specified","","","","MARGARET E ST PETERS TEST TR","C/O DIANE KUZMESKUS","PO BOX 164","","CONWAY","MA","13410164","1,119","3,093","$16,800.00 ","$15.01 ","$0.00 ","$0.00 "
"25","Connecticut Valley","CUMMINGTON","MAIN OFFICE","241649005","21 MAIN ST STE 103","CUMMINGTON","MA","01026-9998","Dec-05","USPS (Not Roof)","11/1/2013","10/31/2018","A","A","Percentage","","2","10","MICHELLE ORLANDI","AND GINO ORLANDI","21 MAIN ST","","CUMMINGTON","MA","10269742","1,200","1,200","$19,251.00 ","$16.04 ","$21,780.00 ","$18.15 "
"26","Connecticut Valley","CUTTYHUNK","MAIN OFFICE","241683001","13A BROADWAY","CUTTYHUNK","MA","02713-9800","May-81","Landlord","4/1/2014","7/31/2017","A","A","None Specified","","","","FRANCES E VEEDER","6 MERRYMOUNT DR","","","N DARTMOUTH","MA","27473812","130","130","$9,960.00 ","$76.62 ","$0.00 ","$0.00 "
"27","Connecticut Valley","DALTON","MAIN OFFICE","241700001","609 MAIN ST","DALTON","MA","01226-9998","Nov-54","Landlord","10/20/2012","9/30/2017","A","A","Reimbursable","","","","WILLIAM THOMPSON","AND MARTHA THOMPSON","9 HIGH ST","","DALTON","MA","12261118","1,768","14,644","$40,000.00 ","$22.62 ","$0.00 ","$0.00 "
"28","Connecticut Valley","DEERFIELD","MAIN OFFICE","241768001","75 OLD MAIN ST","DEERFIELD","MA","01342-9998","Mar-63","Landlord","3/16/2015","3/15/2020","A","A","None Specified","","1","5","HISTORIC DEERFIELD INC","PO BOX 321","","","DEERFIELD","MA","13420321","1,287","1,824","$18,983.00 ","$14.75 ","$20,502.00 ","$15.93 "
"29","Connecticut Valley","DIGHTON","MAIN OFFICE","241819001","232 MAIN ST","DIGHTON","MA","02715-1259","Feb-55","USPS (Not Roof)","8/1/2011","7/31/2016","A","A","Reimbursable","","1","5","CMVG REALTY TRUST","TIMOTHY CAREY TRUSTEE","PO BOX 654","","DIGHTON","MA","27150654","756","1,386","$10,041.00 ","$13.28 ","$10,543.00 ","$13.95 "
"30","Connecticut Valley","EAST FREETOWN","MAIN OFFICE","242091002","10 CROSSROAD DR","EAST FREETOWN","MA","02717-1642","Mar-96","Landlord","3/1/2016","2/28/2021","A","A","Reimbursable","N","1","5","JOHN LARONDA JR","30 GURNEY RD","PO BOX 3","","EAST FREETOWN","MA","27170003","2,625","25,318","$39,600.00 ","$15.09 ","$43,560.00 ","$16.59 "
"31","Connecticut Valley","EAST LONGMEADOW","LONGMEADOW BRANCH","247820029","817 WILLIAMS ST","LONGMEADOW","MA","01106-9998","Aug-85","Landlord","8/10/2015","8/9/2020","A","A","Percentage","","1","5","LONGMEADOW MALL LP","651 WASHINGTON ST STE 200","","","BROOKLINE","MA","24464518","2,296","2,296","$47,160.00 ","$20.54 ","$53,055.00 ","$23.11 "
"32","Connecticut Valley","EAST OTIS","MAIN OFFICE","242295003","1722 E OTIS RD","EAST OTIS","MA","01029-9998","Mar-98","USPS (Not Roof)","3/1/1998","2/28/2018","P","P","Reimbursable","Y","4","20","THE CONRAD FAMILY TRUST","C/O TRICIA SANDLER, TRUSTEE","3400 SW 27TH AVE APT 1705","","COCOUNUT GROVE","FL","331335320","1,512","34,596","$39,500.00 ","$26.12 ","$34,000.00 ","$22.49 "
"33","Connecticut Valley","EASTHAMPTON","FLORENCE STATION","245219001","123 MAIN ST","FLORENCE","MA","01062-9998","Apr-70","Landlord","4/1/1985","","A","A","None Specified","N","","","TIMOTHY E SHEA","84 MAPLE ST","","","FLORENCE","MA","10609999","1,943","1,943","$13,596.00 ","$7.00 ","$0.00 ","$0.00 "
"34","Connecticut Valley","ERVING","MAIN OFFICE","242499004","54 FRENCH KING HWY","ERVING","MA","01344-9998","Mar-97","Landlord","3/10/1997","3/9/2017","A","A","Reimbursable","N","2","10","RALPH W SEMB","PO BOX 99","","","ERVING","MA","13440099","1,470","24,800","$13,200.00 ","$8.98 ","$15,840.00 ","$10.78 "
"35","Connecticut Valley","FAIRHAVEN","CARRIER ANNEX","242533001","4 PEQUOD RD","FAIRHAVEN","MA","02719-4741","Sep-04","USPS","9/15/2004","9/14/2024","A","A","Reimbursable","N","","","LAUREL SCHWARTZ","FAIRHAVEN ANNEX LLC","36 BEACHSIDE AVE","","WESTPORT","CT","68806207","5,009","43,560","$88,000.00 ","$17.57 ","$0.00 ","$0.00 "
"36","Connecticut Valley","FALL RIVER","ANTENNA SITE","512756600","COPICUT HILL","FALL RIVER","MA","02720-3000","","Landlord","5/1/1998","","X","Z","None Specified","","","","SFP JOINT VENTURE","9 BLOSSOM LANE","","","WAYLAND","MA","17782811","0","30","$4,200.00 ","$140.00 ","$0.00 ","$0.00 "
"37","Connecticut Valley","FALL RIVER","BEDFORD STREET PARKING","242550014","158 BEDFORD STREET","FALL RIVER","MA","02722-9998","","Landlord","7/1/2014","6/30/2016","X","Z","None Specified","","","","PEOPLE INCORPORATED","4 SOUTH MAIN ST","","","FALL RIVER","MA","27215327","0","10,150","$16,740.00 ","$1.65 ","$10,260.00 ","$1.01 "
"38","Connecticut Valley","FALL RIVER","FLINT STATION","242552001","1662 PLEASANT ST","FALL RIVER","MA","02723-9998","Apr-87","USPS (Not Roof)","2/1/2015","1/31/2020","A","A","Reimbursable","","1","5","LOUIS ANDRADE","657 PLEASANT ST","","","FALL RIVER","MA","27214305","4,772","14,587","$68,799.38 ","$14.42 ","$77,399.30 ","$16.22 "
"39","Connecticut Valley","FALL RIVER","HIGHLAND STA GRD LSE","242550012","1701 PRESIDENT AVE","FALL RIVER","MA","02720-7114","","USPS","3/21/1990","3/21/2089","X","Z","None Specified","N","","","","","","","","","","0","49,351","$1.00 ","$0.00 ","$0.00 ","$0.00 "
"40","Connecticut Valley","FALL RIVER","HIGHLAND STATION","242553001","1701 PRESIDENT AVE","FALL RIVER","MA","02720-7114","Feb-95","Landlord","2/2/1995","2/1/2025","A","A","Reimbursable","Y","","","U S EQUITIES LP","ATTN: STAN H HARDAWAY","PO BOX 60429","","NASHVILLE","TN","372060429","6,511","6,326","$60,090.00 ","$9.23 ","$0.00 ","$0.00 "
"41","Connecticut Valley","FALL RIVER","MAIN OFFICE PARKING","242550013","3RD STREET","FALL RIVER","MA","02722-9999","","Landlord","2/1/2014","1/31/2019","X","Z","None Specified","","","","3RD STREET PARKING DECK","RICHARD LAGARDE PARKING SUPERVISOR","C/O FALL RIVER CHAMBER OF COMMERCE","200 POCASSET ST","FALL RIVER","MA","27211533","0","24,500","$29,400.00 ","$1.20 ","$0.00 ","$0.00 "
"42","Connecticut Valley","FALL RIVER","SOMERSET BRANCH","242554001","1089 COUNTY ST","SOMERSET","MA","02726-9998","Mar-00","USPS (Not Roof)","3/1/2000","2/29/2020","A","A","Percentage","","","","FAITH REALTY INC","106 ACCESS RD","","","NORWOOD","MA","20625292","8,504","9,120","$47,850.00 ","$5.63 ","$0.00 ","$0.00 "
"43","Connecticut Valley","FALL RIVER","VMF","242551004","17 BANK ST","FALL RIVER","MA","02720-2101","Aug-51","USPS","2/1/2015","1/31/2025","A","A","Percentage","","","","MIDTOWN MOTOR MART INC","PO BOX 9365","","","FALL RIVER","MA","27200007","12,376","16,276","$64,974.00 ","$5.25 ","$0.00 ","$0.00 "
"44","Connecticut Valley","FEEDING HILLS","MAIN OFFICE","242669001","1339 SPRINGFIELD ST","FEEDING HILLS","MA","01030-9998","Oct-64","Landlord","6/1/2015","5/31/2020","A","A","Reimbursable","","2","10","PALATIUM REALTY INC","1070 HALLADAY AVE W","","","SUFFIELD","CT","60781058","2,572","16,925","$47,000.00 ","$18.27 ","$51,700.00 ","$20.10 "
"45","Connecticut Valley","GILBERTVILLE","MAIN OFFICE","242873002","39 NORTH ST","GILBERTVILLE","MA","01031-9998","Dec-84","USPS (Not Roof)","12/1/2009","11/30/2019","A","A","Reimbursable","N","","","JOBITO ASSOCIATES","C/O FRANK W TESSITORE","76 BEDFORD ST STE 38","","LEXINGTON","MA","24204699","1,362","7,682","$18,720.00 ","$13.74 ","$0.00 ","$0.00 "
"46","Connecticut Valley","GLENDALE","MAIN OFFICE","242907001","17 GLENDALE RD","GLENDALE","MA","01229-9998","Jul-58","Landlord","12/1/2015","11/30/2020","A","A","None Specified","","","","JOHN A MILLER JR","PO BOX 108","","","GLENDALE","MA","12290108","283","36,895","$8,320.00 ","$29.40 ","$0.00 ","$0.00 "
"47","Connecticut Valley","GOSHEN","MAIN OFFICE","242941001","33C MAIN ST","GOSHEN","MA","01032-9998","Jun-73","Landlord","6/1/2015","5/31/2020","A","A","None Specified","","","","MICHAEL G GEORGE","ATTICUS LLC","PO BOX 102","","GOSHEN","MA","10320102","548","596","$9,800.00 ","$17.88 ","$0.00 ","$0.00 "
"48","Connecticut Valley","GRANBY","MAIN OFFICE","242975002","63 W STATE ST","GRANBY","MA","01033-9998","Jul-01","Landlord","7/28/2001","7/27/2021","P","P","Reimbursable","","2","10","PRIDE PLAZA INC","246 COTTAGE ST","","","SPRINGFIELD","MA","11043274","5,213","79,555","$99,500.00 ","$19.09 ","$130,000.00 ","$24.94 "
"49","Connecticut Valley","GRANVILLE","MAIN OFFICE","243009002","467 MAIN RD","GRANVILLE","MA","01034-9998","Jan-02","Landlord","1/5/2002","1/4/2022","A","A","Reimbursable","","4","20","M H PARSONS & SONS","LUMBER COMPANY","PO BOX 450","","YORK","ME","39090450","2,577","58,912","$70,225.00 ","$27.25 ","$70,225.00 ","$27.25 "
"50","Connecticut Valley","HADLEY","MAIN OFFICE","243128002","186 RUSSELL ST","HADLEY","MA","01035-9998","Mar-85","USPS (Not Roof)","3/1/1997","2/28/2022","A","A","Reimbursable","Y","2","10","UNITED PO INVEST INC","123 GROVE AVE STE 222","","","CEDARHURST","NY","115162302","4,135","18,414","$31,080.00 ","$7.52 ","$33,152.00 ","$8.02 "
"51","Connecticut Valley","HAMPDEN","MAIN OFFICE","243179001","534 MAIN ST","HAMPDEN","MA","01036-9998","Nov-64","Landlord","1/1/2015","12/31/2019","A","A","Reimbursable","","1","5","HATCH PROPERTY MANAGEMENT, LLC","155 SOUTH MONSON ROAD","","","HAMPDEN","MA","10369116","1,808","10,647","$27,572.00 ","$15.25 ","$28,928.00 ","$16.00 "
"52","Connecticut Valley","HARDWICK","MAIN OFFICE","243281001","14 BARRE RD","HARDWICK","MA","01037-9998","Feb-55","USPS (Not Roof)","8/1/2015","7/31/2018","A","A","Percentage","0","","","WILLIAM WESTMAN","WENDY WESTMAN","30 LITTLETON RD","","AYER","MA","14321746","928","928","$13,000.00 ","$14.01 ","$0.00 ","$0.00 "
"53","Connecticut Valley","HATFIELD","MAIN OFFICE","243366003","7 SCHOOL ST","HATFIELD","MA","01038-9998","May-77","Landlord","5/1/2007","4/30/2017","A","A","Reimbursable","","","","MICHAEL J FITZGERALD III","AND MARILYN A FITZGERALD","5 SCHOOL ST","","HATFIELD","MA","10389721","1,856","13,012","$18,000.00 ","$9.70 ","$24,128.00 ","$13.00 "
"54","Connecticut Valley","HAYDENVILLE","MAIN OFFICE","243417001","140 MAIN ST","HAYDENVILLE","MA","01039-9998","Jul-56","Landlord","3/1/2014","2/28/2019","A","A","None Specified","","","","DENISON CORPORATION","15A PRAY ST","","","AMHERST","MA","10022110","943","9,148","$16,800.00 ","$17.82 ","$0.00 ","$0.00 "
"55","Connecticut Valley","HINSDALE","MAIN OFFICE","243485002","25 MAPLE ST","HINSDALE","MA","01235-9998","Jan-87","USPS (Not Roof)","1/1/2007","12/31/2016","A","A","Reimbursable","N","","","JACK AND CAROL FRANK","SURVIVORS TRUST","33 ROCKINGHAM DR","","NEWPORT BEACH","CA","926604225","2,960","15,507","$48,300.00 ","$16.32 ","$53,280.00 ","$18.00 "
"56","Connecticut Valley","HOLYOKE","INGLESIDE MALL STA","243553003","50 HOLYOKE ST","HOLYOKE","MA","01040-2709","Nov-91","USPS (Not Roof)","11/18/2011","10/31/2016","A","A","None Specified","","","","HOLYOKE MALL COMPANY LP","THE CLINTON EXCHANGE","4 CLINTON SQ","","SYRACUSE","NY","132021078","2,035","2,035","$117,012.00 ","$57.50 ","$136,345.00 ","$67.00 "
"57","Connecticut Valley","HOLYOKE","MAIN OFFICE PARKING","243553006","109-115 SUFFOLK STREET","HOLYOKE","MA","01040-9998","","USPS","1/1/2007","12/31/2026","X","Z","Reimbursable","","","","FRANK A CAMEROTA","282 MAPLE ST","","","EAST LONGMEADOW","MA","10282797","0","27,600","$19,000.00 ","$0.69 ","$0.00 ","$0.00 "
"58","Connecticut Valley","HOUSATONIC","MAIN OFFICE","243621001","11 DEPOT ST","HOUSATONIC","MA","01236-9998","Sep-61","Landlord","11/1/2012","10/31/2017","A","A","Reimbursable","N","","","VALLEY REALTY CO","8342 MACON RD","","","CORDOVA","TN","380188554","2,247","4,165","$20,250.00 ","$9.01 ","$31,458.00 ","$14.00 "
"59","Connecticut Valley","HUNTINGTON","MAIN OFFICE","243706002","16 RUSSELL RD","HUNTINGTON","MA","01050-9998","Oct-83","USPS (Not Roof)","3/1/1997","2/28/2022","A","A","Reimbursable","Y","2","10","UNITED PO INVEST INC","123 GROVE AVE STE 222","","","CEDARHURST","NY","115162302","1,792","8,805","$13,440.00 ","$7.50 ","$14,336.00 ","$8.00 "
"60","Connecticut Valley","LAKE PLEASANT","MAIN OFFICE","243876001","5 MONTAGUE AVE","LAKE PLEASANT","MA","01347-9998","Jun-78","Landlord","6/1/2013","5/31/2018","A","A","None Specified","N","","","DEBORAH R FRENKEL","DOUGLAS S MILLER","PO BOX 116","","LAKE PLEASANT","MA","13470116","376","2,507","$7,200.00 ","$19.15 ","$0.00 ","$0.00 "
"61","Connecticut Valley","LANESBORO","MAIN OFFICE","243910002","545 S MAIN ST","LANESBORO","MA","01237-9998","Nov-89","Landlord","11/11/2014","11/10/2019","A","A","None Specified","","2","10","LANESBORO PLAZA LLC","93 MEADOW DRIVE","","","DALTON","MA","12261741","3,834","27,515","$67,325.04 ","$17.56 ","$77,423.76 ","$20.19 "
"62","Connecticut Valley","LEE","MAIN OFFICE","243944001","35 FRANK P CONSOLATI WAY","LEE","MA","01238-9998","Jan-66","Landlord","1/1/2016","12/31/2020","A","A","Reimbursable","","1","5","ANTHONY L CAROPRESO","PO BOX 643","","","LEE","MA","12381608","4,000","18,792","$25,600.00 ","$6.40 ","$27,500.00 ","$6.88 "
"63","Connecticut Valley","LEEDS","MAIN OFFICE","243961001","24 MULBERRY ST","LEEDS","MA","01053-9998","Sep-61","Landlord","11/1/2011","10/31/2016","A","A","Reimbursable","N","1","5","ALMER M HUNTLEY JR","SANDRA J HUNTLEY","2721S 900E","","HAGERMAN","ID","833325617","1,570","11,703","$11,000.00 ","$7.01 ","$12,000.00 ","$7.64 "
"64","Connecticut Valley","LEEDS","MAIN OFFICE PARKING","243961002","38 MULBERRY STREET","LEEDS","MA","01053-9998","","Landlord","11/1/2011","10/31/2016","X","Z","None Specified","","1","5","ALAN BERKENWALD","& JOAN SCHAFFER","41 CLOVERDALE ST","","FLORENCE","MA","10621063","0","600","$525.00 ","$0.88 ","$575.00 ","$0.96 "
"65","Connecticut Valley","LENOX","MAIN OFFICE","243995001","68 MAIN ST STE A","LENOX","MA","01240-9998","Aug-70","Landlord","8/1/2012","7/31/2017","A","A","None Specified","","","","ANDREW M DAVIS","PVI LENOX VILLAGE LLC","ONE MONARCH PL STE 1450","","SPRINGFIELD","MA","11441099","3,116","4,376","$84,800.00 ","$27.21 ","$0.00 ","$0.00 "
"66","Connecticut Valley","LENOX DALE","MAIN OFFICE","244012002","42 CRYSTAL ST","LENOX DALE","MA","01242-9998","Nov-82","USPS (Not Roof)","11/1/2012","10/31/2017","A","A","None Specified","","1","5","ESTATE OF JOAN WELLINGTON","PO BOX 191","","","LENOX DALE","MA","12420191","1,070","43,560","$14,400.00 ","$13.46 ","$15,120.00 ","$14.13 "
"67","Connecticut Valley","LEVERETT","MAIN OFFICE","244046001","7 MONTAGUE RD","LEVERETT","MA","01054-9998","Jul-58","Landlord","7/1/2014","6/30/2019","A","A","Reimbursable","","1","5","GREGORY L WOODARD","LYNN H WOODARD","36 MONTAGUE RD","","LEVERETT","MA","10549742","960","8,285","$12,672.00 ","$13.20 ","$13,433.00 ","$13.99 "
"68","Connecticut Valley","LUDLOW","MAIN OFFICE","244165001","83 WINSOR ST","LUDLOW","MA","01056-9998","Oct-63","Landlord","10/1/2011","9/30/2016","A","A","Reimbursable","","","","K&W RAINBOW INC","PO BOX 28","","","BRISTOL","RI","28090028","3,828","15,400","$51,842.00 ","$13.54 ","$56,500.00 ","$14.76 "
"69","Connecticut Valley","MARION","MAIN OFFICE","244352001","143 FRONT ST","MARION","MA","02738-1527","Jul-56","Landlord","7/1/2011","6/30/2016","A","A","Reimbursable","N","2","10","SIPPICAN HISTORICAL SOC","PO BOX 541","","","MARION","MA","27380541","1,686","1,928","$25,182.82 ","$14.94 ","$27,700.00 ","$16.43 "
"70","Connecticut Valley","MATTAPOISETT","MAIN OFFICE","244454001","30 COUNTY RD","MATTAPOISETT","MA","02739-1553","Jul-57","Landlord","7/1/2011","6/30/2016","A","A","Percentage","","","","WAYNE WALEGA","24 NORTH ST","","","MATTAPOISETT","MA","27392028","1,728","5,630","$31,968.00 ","$18.50 ","$36,552.00 ","$21.15 "
"71","Connecticut Valley","MIDDLEFIELD","TEMPORARY MPO - TRAILER","244590003","BELL ROAD","MIDDLEFIELD","MA","01243-9998","","USPS","1/1/2015","12/31/2019","Y","Z","None Specified","","","","TOWN OF MIDDLEFIELD","PO BOX 238","","","MIDDLEFIELD","MA","12430238","0","10,890","$6,700.00 ","$0.62 ","$0.00 ","$0.00 "
"72","Connecticut Valley","MILL RIVER","MAIN OFFICE","244709002","8 MILL RIVER GT BARRINGTON RD","MILL RIVER","MA","01244-9998","Oct-84","Landlord","10/1/2014","9/30/2019","A","A","None Specified","","","","UNCLE BUCK'S LLC","C/O DAVID HERRICK","PO BOX 299","","MILL RIVER","MA","12440299","284","276","$6,093.00 ","$21.45 ","$0.00 ","$0.00 "
"73","Connecticut Valley","MONSON","MAIN OFFICE","244794002","109 MAIN ST","MONSON","MA","01057-9800","Feb-97","Landlord","2/15/1997","2/14/2017","P","P","Percentage","Y","4","20","MEDEIROS DOWNTOWN","CROSSING LLC","2045 BOSTON ROAD","","WILBRAHAM","MA","10951103","5,100","33,976","$112,000.00 ","$21.96 ","$88,000.00 ","$17.25 "
"74","Connecticut Valley","MONTAGUE","MAIN OFFICE","244811001","53 MAIN ST","MONTAGUE","MA","01351-9998","Nov-69","Landlord","11/1/2014","10/31/2019","A","A","Reimbursable","","","","GREENFIELD PILGRIM 3 LLC","ATTN: RUSSELL E HADDLETON","PO BOX 1298","","HYANNIS","MA","26011298","2,016","8,196","$27,300.00 ","$13.54 ","$0.00 ","$0.00 "
